Tree ID,Tree Species,Canopy Type,Total Tree Height (m),Under-branch Height (m),Crown Diameter (m),"Light Source Coordinates (x,y,z)"
1.0,香樟,半椭球体,,,,
1.1,香樟,半椭球体,5.64,2.47,2.94,"(2.03, 2.0, 8.0)"
1.1,香樟,半椭球体,5.64,2.47,2.94,
1.2,香樟,半椭球体,4.36,1.98,3.48,"(5.6, 2.5, 10.0)"
1.2,香樟,半椭球体,4.36,1.98,3.48,"(5.6, 6.5, 10.0)"
2.1,香樟,半椭球体,5.22,2.26,3.47,"(2.23, 2.5, 10.0)"
2.1,香樟,半椭球体,5.22,2.26,3.47,"(2.23, 6.5, 10.0)"
2.2,香樟,半椭球体,6.28,2.21,4.31,"(7.05, 2.5, 10.0)"
2.2,香樟,半椭球体,6.28,2.21,4.31,"(7.05, 6.5, 10.0)"
3.1,香樟,半椭球体,5.28,2.32,2.66,"(1.63, 2.5, 10.0)"
3.1,香樟,半椭球体,5.28,2.32,2.66,"(1.63, 6.5, 10.0)"
3.2,香樟,半椭球体,3.9,1.44,2.8,"(6.2, 2.5, 10.0)"
3.2,香樟,半椭球体,3.9,1.44,2.8,"(6.2, 6.5, 10.0)"
4.1,香樟,半椭球体,4.82,1.84,2.66,"(2.09, 2.5, 10.0)"
4.1,香樟,半椭球体,4.82,1.84,2.66,"(2.09, 6.5, 10.0)"
4.2,香樟,半椭球体,4.46,1.77,3.48,"(7.75, 2.5, 10.0)"
4.2,香樟,半椭球体,4.46,1.77,3.48,"(7.75, 6.5, 10.0)"
5.1,香樟,半椭球体,5.53,1.96,3.19,"(1.99, 2.5, 10.0)"
5.1,香樟,半椭球体,5.53,1.96,3.19,"(1.99, 6.5, 10.0)"
5.2,香樟,半椭球体,3.95,1.83,2.23,"(4.52, 2.5, 10.0)"
5.2,香樟,半椭球体,3.95,1.83,2.23,"(4.52, 6.5, 10.0)"
6.1,香樟,半椭球体,4.51,1.79,3.1,"(2.14, 2.5, 10.0)"
6.1,香樟,半椭球体,4.51,1.79,3.1,"(2.14, 6.5, 10.0)"
6.2,香樟,半椭球体,4.84,2.09,2.86,"(5.84, 2.5, 10.0)"
6.2,香樟,半椭球体,4.84,2.09,2.86,"(5.84, 6.5, 10.0)"
7.1,香樟,半椭球体,4.94,1.86,2.63,"(1.24, 2.5, 10.0)"
7.1,香樟,半椭球体,4.94,1.86,2.63,"(1.24, 6.5, 10.0)"
8.1,香樟,半椭球体,5.41,2.24,4.12,"(1.89, 2.5, 10.0)"
8.1,香樟,半椭球体,5.41,2.24,4.12,"(1.89, 6.5, 10.0)"
8.2,香樟,半椭球体,6.37,2.51,3.12,"(6.15, 2.5, 10.0)"
8.2,香樟,半椭球体,6.37,2.51,3.12,"(6.15, 6.5, 10.0)"
9.1,香樟,半椭球体,4.54,1.89,3.12,"(1.93, 2.5, 10.0)"
9.1,香樟,半椭球体,4.54,1.89,3.12,"(1.93, 6.5, 10.0)"
9.2,香樟,半椭球体,5.31,1.97,3.87,"(6.89, 2.5, 10.0)"
9.2,香樟,半椭球体,5.31,1.97,3.87,"(6.89, 6.5, 10.0)"
10.1,香樟,半椭球体,3.98,1.82,2.62,"(1.36, 2.5, 10.0)"
10.1,香樟,半椭球体,3.98,1.82,2.62,"(1.36, 6.5, 10.0)"
10.2,香樟,半椭球体,4.86,1.91,2.23,"(5.75, 2.5, 10.0)"
10.2,香樟,半椭球体,4.86,1.91,2.23,"(5.75, 6.5, 10.0)"
